Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1885,2,-0.437,,,,
1885,3,-1.274,-0.601,,,
1885,4,-1.666,-0.58,,,
1885,5,-0.629,-0.573,,,
1885,6,0.131,-0.576,,,
1885,7,0.175,-0.531,,,
1885,8,-0.107,-0.525,,,
1885,9,-0.533,-0.476,,,
1885,10,-0.625,-0.38,,,
1885,11,-0.454,-0.335,,,
1885,12,0.056,-0.322,,,
1886,1,-1.011,-0.365,,,
1886,2,-0.359,-0.408,,,
1886,3,-0.685,-0.354,,,
1886,4,-0.519,-0.35,-0.642,,
1886,5,-0.093,-0.393,-0.636,,
1886,6,0.298,-0.46,-0.636,,
1886,7,-0.347,-0.497,-0.626,,
1886,8,-0.617,-0.545,-0.609,,
1886,9,0.108,-0.579,-0.589,,
1886,10,-0.572,-0.594,-0.56,,
1886,11,-0.975,-0.652,-0.536,,
1886,12,-0.747,-0.735,-0.529,,
1887,1,-1.459,-0.758,-0.5,,
1887,2,-0.93,-0.781,-0.494,,
1887,3,-1.099,-0.82,-0.478,,
1887,4,-0.694,-0.821,-0.475,,
1887,5,-0.794,-0.787,-0.47,,
1887,6,-0.691,-0.801,-0.471,,
1887,7,-0.629,-0.789,-0.456,-0.578,
1887,8,-0.89,-0.778,-0.459,-0.583,
1887,9,-0.356,-0.753,-0.451,-0.577,
1887,10,-0.591,-0.743,-0.443,-0.568,
1887,11,-0.567,-0.754,-0.454,-0.562,
1887,12,-0.909,-0.723,-0.46,-0.557,
1888,1,-1.314,-0.708,-0.475,-0.552,
1888,2,-0.805,-0.635,-0.479,-0.556,
1888,3,-0.8,-0.662,-0.468,-0.555,
1888,4,-0.569,-0.608,-0.482,-0.554,
1888,5,-0.922,-0.571,-0.489,-0.557,
1888,6,-0.323,-0.513,-0.51,-0.559,
1888,7,-0.449,-0.437,-0.518,-0.557,
1888,8,-0.009,-0.341,-0.531,-0.544,
1888,9,,-0.285,-0.539,-0.546,
1888,10,0.058,-0.217,-0.531,-0.552,
1888,11,-0.122,-0.099,-0.539,-0.548,
1888,12,-0.217,-0.043,-0.55,-0.551,
1889,1,-0.405,0.012,-0.538,-0.553,
1889,2,0.353,-0.005,-0.541,-0.553,
1889,3,-0.13,0.049,-0.552,-0.541,
1889,4,0.244,-0.018,-0.559,-0.541,
1889,5,0.498,-0.029,-0.552,-0.534,
1889,6,0.344,-0.005,-0.555,-0.532,
1889,7,0.217,-0.026,-0.535,-0.519,
1889,8,-0.214,-0.104,-0.535,-0.516,
1889,9,-0.039,-0.163,-0.52,-0.512,
